sample_id,Strain,Salt,A,C,Dispersed
133,gcy-22 (csu79),NH4Cl,22,1,29
134,gcy-22 (csu79),NH4Cl,12,1,27
135,gcy-22 (csu79),NH4Cl,23,2,104
136,gcy-22 (csu79),NH4Cl,33,0,51
137,gcy-22 (csu79),NH4Cl,13,1,75
138,gcy-22 (csu79),NH4Cl,11,1,32
139,gcy-22 (csu79),NH4Cl,43,16,196
140,gcy-22 (csu79),NH4Cl,29,2,127
141,gcy-22 (csu79),NH4Cl,21,0,76
142,gcy-22 (csu79),NH4Cl,21,0,91
143,gcy-22 (csu79),NH4Cl,7,3,13
144,gcy-22 (csu79),NH4Cl,8,4,15
145,gcy-22 (csu79),NH4Cl,6,3,20
146,gcy-22 (csu80),NH4Cl,12,4,29
147,gcy-22 (csu80),NH4Cl,19,8,33
148,gcy-22 (csu80),NH4Cl,30,13,86
149,gcy-22 (csu80),NH4Cl,19,7,69
150,gcy-22 (csu80),NH4Cl,72,32,203
151,gcy-22 (csu80),NH4Cl,73,22,187
152,gcy-22 (csu80),NH4Cl,122,56,247
153,gcy-22 (csu80),NH4Cl,102,60,110
154,gcy-22 (csu80),NH4Cl,20,3,65
155,gcy-22 (csu80),NH4Cl,18,4,67
156,gcy-22 (csu80),NH4Cl,9,5,52
157,gcy-22 (csu80),NH4Cl,14,4,38
158,gcy-22 (csu80),NH4Cl,9,4,93
159,gcy-22 (csu80),NH4Cl,60,16,165
160,gcy-22 (csu80),NH4Cl,76,15,172
161,gcy-22 (csu80),NH4Cl,82,26,176
162,gcy-22 (csu80),NH4Cl,62,11,176
163,wildtype (PS312),NH4I,45,25,115
164,wildtype (PS312),NH4I,68,12,131
165,wildtype (PS312),NH4I,66,23,97
166,wildtype (PS312),NH4I,22,10,67
167,wildtype (PS312),NH4I,123,22,126
168,wildtype (PS312),NH4I,138,35,90
169,wildtype (PS312),NH4I,92,33,142
170,wildtype (PS312),NH4I,58,31,172
171,wildtype (PS312),NH4I,15,77,69
172,wildtype (PS312),NH4I,74,53,72
173,wildtype (PS312),NH4I,66,46,103
174,wildtype (PS312),NH4I,39,48,116
175,wildtype (PS312),NH4I,82,69,100
176,wildtype (PS312),NH4I,170,43,123
177,wildtype (PS312),NH4I,72,37,89
178,wildtype (PS312),NH4I,160,57,135
179,wildtype (PS312),NH4I,105,35,115
180,gcy-22 (csu79),NH4I,48,3,104
181,gcy-22 (csu79),NH4I,33,1,73
182,gcy-22 (csu79),NH4I,49,5,75
183,gcy-22 (csu79),NH4I,20,4,51
184,gcy-22 (csu79),NH4I,32,1,89
185,gcy-22 (csu79),NH4I,47,5,88
186,gcy-22 (csu79),NH4I,54,3,81
187,gcy-22 (csu79),NH4I,21,1,70
188,gcy-22 (csu79),NH4I,17,7,78
189,gcy-22 (csu79),NH4I,37,2,80
190,gcy-22 (csu79),NH4I,15,6,58
191,gcy-22 (csu79),NH4I,48,0,111
192,gcy-22 (csu79),NH4I,25,3,72
193,gcy-22 (csu79),NH4I,17,1,27
194,gcy-22 (csu79),NH4I,14,3,35
195,gcy-22 (csu79),NH4I,30,3,35
196,gcy-22 (csu79),NH4I,11,0,49
197,gcy-22 (csu80),NH4I,73,5,56
198,gcy-22 (csu80),NH4I,70,14,116
199,gcy-22 (csu80),NH4I,47,16,50
200,gcy-22 (csu80),NH4I,83,14,86
201,gcy-22 (csu80),NH4I,52,50,156
202,gcy-22 (csu80),NH4I,89,56,137
203,gcy-22 (csu80),NH4I,149,41,148
204,gcy-22 (csu80),NH4I,76,30,160
205,gcy-22 (csu80),NH4I,262,19,194
206,gcy-22 (csu80),NH4I,203,56,143
207,gcy-22 (csu80),NH4I,242,60,153
208,gcy-22 (csu80),NH4I,180,28,153
209,gcy-22 (csu80),NH4I,109,19,89
210,gcy-22 (csu80),NH4I,71,36,123
211,gcy-22 (csu80),NH4I,154,33,152
212,gcy-22 (csu80),NH4I,162,26,118
213,gcy-22 (csu80),NH4I,127,26,101
214,wildtype (PS312),LiCl,31,24,54
215,wildtype (PS312),LiCl,27,16,37
216,wildtype (PS312),LiCl,28,23,114
217,wildtype (PS312),LiCl,22,12,42
218,wildtype (PS312),LiCl,17,14,52
219,wildtype (PS312),LiCl,11,11,82
220,wildtype (PS312),LiCl,7,12,46
221,wildtype (PS312),LiCl,23,23,38
222,wildtype (PS312),LiCl,10,4,26
